Year,Title,Abstract
2019,Biomimetic Platinum Nanozyme Immobilized on 2D Metal-Organic Frameworks for Mitochondria-targeting and Oxygen Self-supply Photodynamic Therapy.,"Photodynamic Therapy (PDT) as a noninvasive therapy mode has attracted considerable attention in the field of oncotherapy. However, the PDT efficacy is restricted either by tumor hypoxia environment or the inherent properties of photosensitizers (PSs) including bad water solution, photobleaching, and easy aggregation. Herein, we designed and synthesized a new 2D metal-organic framework Sm-TCPP nanosheets by assembling transition metal ion (Sm3+) and PSs (TCPP), on which the catalase (CAT)-mimicking platinum nanozyme were then in situ grown for sufficient oxygen supply during PDT. The prepared Sm-TCPP with nanoplate morphology (~100 nm in diameter) and ultrathin thickness (<10 nm) showed significantly enhanced 1O2 generation capacity due to the improved physicochemical property and the enhanced intersystem crossing from heavy Sm nodes. More importantly, the CAT-mimicking Pt nanozyme on the Sm-TCPP nanosheets could effectively convert over-expressed H2O2 in tumor microenvironment (TME) into O2 to relieve tumor hypoxia. Further, triphenylphosphine (TPP) molecule was introduced to Sm-TCPP-Pt for an mitochondria-targeting and O2 self-supply PDT system. The experimental results in vitro and in vivo based on MCF-7 breast cancer model revealed that Sm-TCPP-Pt/TPP could relieve tumor hypoxia, and the generated ROS nearby intracellular mitochondria significantly induced cell apoptosis. This study offers an engineering strategy to integrate 2D PSs-based MOF and nanozymes into a nanoplatform to surmount the pitfalls of traditional PDT."
2017,A method for classifying medical images using transfer learning: A pilot study on histopathology of breast cancer,"The advance of deep learning has made huge changes in computer vision and produced various off-the-shelf trained models. Particularly, Convolutional Neural Network (CNN) has been widely used to build image classification model which allow researchers transfer the pre-trained learning model for other classifications. We propose a transfer learning method to detect breast cancer using histopathology images based on Google's Inception v3 model which were initially trained for the classification of non-medical images. The pilot study shows the feasibility of transfer learning in the detection of breast cancer with AUC of 0.93."
2016,Antibody-supervised deep learning for quantification of tumor-infiltrating immune cells in hematoxylin and eosin stained breast cancer samples,"Background: Immune cell infiltration in tumor is an emerging prognostic biomarker in breast cancer. The gold standard for quantification of immune cells in tissue sections is visual assessment through a microscope, which is subjective and semi-quantitative. In this study, we propose and evaluate an approach based on antibody-guided annotation and deep learning to quantify immune cell-rich areas in hematoxylin and eosin (H&E) stained samples. Methods: Consecutive sections of formalin-fixed parafin-embedded samples obtained from the primary tumor of twenty breast cancer patients were cut and stained with H&E and the pan-leukocyte CD45 antibody. The stained slides were digitally scanned, and a training set of immune cell-rich and cell-poor tissue regions was annotated in H&E whole-slide images using the CD45-expression as a guide. In analysis, the images were divided into small homogenous regions, superpixels, from which features were extracted using a pretrained convolutional neural network (CNN) and classified with a support of vector machine. The CNN approach was compared to texture-based classification and to visual assessments performed by two pathologists. Results: In a set of 123,442 labeled superpixels, the CNN approach achieved an F-score of 0.94 (range: 0.92-0.94) in discrimination of immune cell-rich and cell-poor regions, as compared to an F-score of 0.88 (range: 0.87-0.89) obtained with the texture-based classification. When compared to visual assessment of 200 images, an agreement of 90% (k = 0.79) to quantify immune infiltration with the CNN approach was achieved while the inter-observer agreement between pathologists was 90% (k = 0.78). Conclusions: Our findings indicate that deep learning can be applied to quantify immune cell infiltration in breast cancer samples using a basic morphology staining only. A good discrimination of immune cell-rich areas was achieved, well in concordance with both leukocyte antigen expression and pathologists′ visual assessment."
2017,Detection and classification of the breast abnormalities in digital mammograms via regional Convolutional Neural Network,"Automatic detection and classification of the masses in mammograms are still a big challenge and play a crucial role to assist radiologists for accurate diagnosis. In this paper, we propose a novel computer-aided diagnose (CAD) system based on one of the regional deep learning techniques: a ROI-based Convolutional Neural Network (CNN) which is called You Only Look Once (YOLO). Our proposed YOLO-based CAD system contains four main stages: mammograms preprocessing, feature extraction utilizing multi convolutional deep layers, mass detection with confidence model, and finally mass classification using fully connected neural network (FC-NN). A set of training mammograms with the information of ROI masses and their types are used to train YOLO. The trained YOLO-based CAD system detects the masses and classifies their types into benign or malignant. Our results show that the proposed YOLO-based CAD system detects the mass location with an overall accuracy of 96.33%. The system also distinguishes between benign and malignant lesions with an overall accuracy of 85.52%. Our proposed system seems to be feasible as a CAD system capable of detection and classification at the same time. It also overcomes some challenging breast cancer cases such as the mass existing in the pectoral muscles or dense regions."
2020,Breast Tumor Segmentation in 3D Automatic Breast Ultrasound Using Mask Scoring R-CNN.,"PURPOSE Automatic breast ultrasound (ABUS) imaging has become an essential tool in breast cancer diagnosis since it provides complementary information to other imaging modalities. Lesion segmentation on ABUS is a prerequisite step of breast cancer computer-aided diagnosis (CAD). This work aims to develop a deep learning-based method for breast tumor segmentation using three-dimensional ABUS automatically. METHODS For breast tumor segmentation in ABUS, we developed a Mask scoring region-based convolutional neural network (R-CNN) that consists of five subnetworks, i.e., a backbone, a regional proposal network, a region CNN head, a mask head, and a mask score head. A network block building direct correlation between mask quality and region class was integrated into a Mask scoring R-CNN based framework for the segmentation of new ABUS images with ambiguous regions of interest (ROIs). For segmentation accuracy evaluation, we retrospectively investigated 70 patients with breast tumor confirmed with needle biopsy and manually delineated on ABUS, of which 40 were used for five-fold cross-validation and 30 were used for hold-out test. The comparison between the automatic breast tumor segmentations and the manual contours was quantified by I) six metrics including Dice similarity coefficient (DSC), Jaccard index, 95% Hausdorff distance (HD95), mean surface distance (MSD), residual mean square distance (RMSD), and center of mass distance (CMD); II) Pearson correlation analysis and Bland-Altman analysis. RESULTS The mean (median) DSC was 85% ± 10.4% (89.4%) and 82.1% ± 14.5% (85.6%) for cross validation and hold-out test, respectively. The corresponding HD95, MSD, RMSD and CMD of the two tests was 1.646 ± 1.191 and 1.665 ± 1.129 mm, 0.489 ± 0.406 and 0.475 ± 0.371 mm, 0.755 ± 0.755 and 0.751 ± 0.508 mm, and 0.672 ± 0.612 and 0.665 ± 0.729 mm. The mean volumetric difference (mean and ± 1.96 standard deviation) was 0.47 cc ([-0.77, 1.71)) for the cross-validation and 0.23 cc ([-0.23 0.69]) for hold-out test respectively. CONCLUSION We developed a novel Mask scoring R-CNN approach for the automated segmentation of the breast tumor in ABUS images and demonstrated its accuracy for breast tumor segmentation. Our learning-based method can potentially assist the clinical CAD of breast cancer using 3D ABUS imaging."
2018,Deep Learning to Distinguish Recalled but Benign Mammography Images in Breast Cancer Screening,"Purpose: False positives in digital mammography screening lead to high recall rates, resulting in unnecessary medical procedures to patients and health care costs. This study aimed to investigate the revolutionary deep learning methods to distinguish recalled but benign mammography images from negative exams and those with malignancy. Experimental Design: Deep learning convolutional neural network (CNN) models were constructed to classify mammography images into malignant (breast cancer), negative (breast cancer free), and recalled-benign categories. A total of 14,860 images of 3,715 patients from two independent mammography datasets: Full-Field Digital Mammography Dataset (FFDM) and a digitized film dataset, Digital Dataset of Screening Mammography (DDSM), were used in various settings for training and testing the CNN models. The ROC curve was generated and the AUC was calculated as a metric of the classification accuracy. Results: Training and testing using only the FFDM dataset resulted in AUC ranging from 0.70 to 0.81. When the DDSM dataset was used, AUC ranged from 0.77 to 0.96. When datasets were combined for training and testing, AUC ranged from 0.76 to 0.91. When pretrained on a large nonmedical dataset and DDSM, the models showed consistent improvements in AUC ranging from 0.02 to 0.05 (all P > 0.05), compared with pretraining only on the nonmedical dataset. Conclusions: This study demonstrates that automatic deep learning CNN methods can identify nuanced mammographic imaging features to distinguish recalled-benign images from malignant and negative cases, which may lead to a computerized clinical toolkit to help reduce false recalls."
2017,Discriminating solitary cysts from soft tissue lesions in mammography using a pretrained deep convolutional neural network,"Purpose: It is estimated that 7% of women in the western world will develop palpable breast cysts in their lifetime. Even though cysts have been correlated with risk of developing breast cancer, many of them are benign and do not require follow‐up. We develop a method to discriminate benign solitary cysts from malignant masses in digital mammography. We think a system like this can have merit in the clinic as a decision aid or complementary to specialized modalities. Methods: We employ a deep convolutional neural network (CNN) to classify cyst and mass patches. Deep CNNs have been shown to be powerful classifiers, but need a large amount of training data for which medical problems are often difficult to come by. The key contribution of this paper is that we show good performance can be obtained on a small dataset by pretraining the network on a large dataset of a related task. We subsequently investigate the following: (a) when a mammographic exam is performed, two different views of the same breast are recorded. We investigate the merit of combining the output of the classifier from these two views. (b) We evaluate the importance of the resolution of the patches fed to the network. (c) A method dubbed tissue augmentation is subsequently employed, where we extract normal tissue from normal patches and superimpose this onto the actual samples aiming for a classifier invariant to occluding tissue. (d) We combine the representation extracted using the deep CNN with our previously developed features. Results: We show that using the proposed deep learning method, an area under the ROC curve (AUC) value of 0.80 can be obtained on a set of benign solitary cysts and malignant mass findings recalled in screening. We find that it works significantly better than our previously developed approach by comparing the AUC of the ROC using bootstrapping. By combining views, the results can be further improved, though this difference was not found to be significant. We find no significant difference between using a resolution of 100 versus 200 micron. The proposed tissue augmentations give a small improvement in performance, but this improvement was also not found to be significant. The final system obtained an AUC of 0.80 with 95% confidence interval [0.78, 0.83], calculated using bootstrapping. The system works best for lesions larger than 27 mm where it obtains an AUC value of 0.87. Conclusion: We have presented a computer‐aided diagnosis (CADx) method to discriminate cysts from solid lesion in mammography using features from a deep CNN trained on a large set of mass candidates, obtaining an AUC of 0.80 on a set of diagnostic exams recalled from screening. We believe the system shows great potential and comes close to the performance of recently developed spectral mammography. We think the system can be further improved when more data and computational power becomes available."
2021,IoMT Cloud-Based Intelligent Prediction of Breast Cancer Stages Empowered With Deep Learning,"Breast cancer is often a fatal disease that has a substantial impact on the female mortality rate. Rapidly spreading breast cancer is due to the abnormal growth of malignant cells in the breast. Early detection of breast cancer can increase treatment opportunities and patient survival rates. Various screening methods with computer-aided detection systems have been developed for the effective diagnosis and treatment of breast cancer. Image data plays an important role in the medical and health industry. Features are extracted from image datasets through deep learning, as deep learning techniques extract features more accurately and rapidly than other existing methods. Deep learning effectively assists existing methods, such as mammogram screening and biopsy, in examining and diagnosing breast cancer. This paper proposes an Internet of Medical Things (IoMT) cloud-based model for the intelligent prediction of breast cancer stages. The proposed model is employed to detect breast cancer and its stages. The experimental results demonstrate 98.86% and 97.81% accuracy for the training and validation phases, respectively. In addition, they demonstrate accuracies of 99.69%, 99.32%, 98.96%, and 99.32% for detecting ductal carcinoma, lobular carcinoma, mucinous carcinoma, and papillary carcinoma. The results of the proposed intelligent prediction of breast cancer stages empowered with the deep learning (IPBCS-DL) model exhibits higher accuracy than existing state-of-the-art methods, indicating its potential to lower the breast cancer mortality rate."
2017,Breast cancer: The translation of big genomic data to cancer precision medicine,"Cancer is a complex genetic disease that develops from the accumulation of genomic alterations in which germline variations predispose individuals to cancer and somatic alterations initiate and trigger the progression of cancer. For the past 2 decades, genomic research has advanced remarkably, evolving from single‐gene to whole‐genome screening by using genome‐wide association study and next‐generation sequencing that contributes to big genomic data. International collaborative efforts have contributed to curating these data to identify clinically significant alterations that could be used in clinical settings. Focusing on breast cancer, the present review summarizes the identification of genomic alterations with high‐throughput screening as well as the use of genomic information in clinical trials that match cancer patients to therapies, which further leads to cancer precision medicine. Furthermore, cancer screening and monitoring were enhanced greatly by the use of liquid biopsies. With the growing data complexity and size, there is much anticipation in exploiting deep machine learning and artificial intelligence to curate integrative “−omics” data to refine the current medical practice to be applied in the near future."
2015,"The lipid-reactive oxygen species phenotype of breast cancer. Raman spectroscopy and mapping, PCA and PLSDA for invasive ductal carcinoma and invasive lobular carcinoma. Molecular tumorigenic mechanisms beyond Warburg effect.","Vibrational signatures of human breast tissue (invasive ductal carcinoma and invasive lobular carcinoma) were used to identify, characterize and discriminate structures in normal (noncancerous) and cancerous tissues by confocal Raman imaging, Raman spectroscopy and IR spectroscopy. The most important differences between normal and cancerous tissues were found in regions characteristic for vibrations of carotenoids, fatty acids, proteins, and interfacial water. Particular attention was paid to the role played by unsaturated fatty acids and their derivatives. K-means clustering and basis analysis followed by PCA and PLSDA is employed to analyze Raman spectroscopic maps of human breast tissue and for a statistical analysis of the samples (82 patients, 164 samples). Raman maps successfully identify regions of carotenoids, fatty acids, and proteins. The intensities, frequencies and profiles of the average Raman spectra differentiate the biochemical composition of normal and cancerous tissues. The paper demonstrates that Raman imaging has reached a clinically relevant level in regard to breast cancer diagnosis applications. The sensitivity and specificity obtained directly from PLSLD and cross validation are equal to 90.5% and 84.8% for calibration and 84.7% and 71.9% for cross-validation respectively."
2022,Status of cancer screening in India: An alarm signal from the National Family Health Survey (NFHS-5),"ABSTRACT Background: Cancer is often detected much later to its onset, resulting in poor prognosis. This makes cancer the second most common cause of death globally. Looking for cancers much before any symptoms occur is termed “cancer screening” and is a powerful strategy for prevention, early diagnosis, and better management of several cancers. This paper examines the status of cancer screening in India from the National Family Health Survey (NFHS)-5 report for the period of 2019–2021. Methods: Secondary data on participation in screening for cervical, breast, and oral cancer were extracted from the NFHS-5 report. Participation status for all the above cancer types is represented as percentages and compared across 28 states and eight union territories in India. Results: The percentages of women who have ever undergone cervical, breast, and oral cavity screening were 1.9%, 0.9%, and 0.9%, respectively. About 1.2% of men participated in oral cavity screening. The highest percentage of cervical and breast cancer screening participation was reported in Tamil Nadu (9.8% and 5.6%, respectively), followed by Puducherry (7.4% and 4.2%) and Mizoram (6.9% and 2.7%). Andaman and Nicobar Islands reported the highest oral cancer screening among women (10.1%) while Andhra Pradesh (6.3%) reported the highest participation among men. Conclusion: Cancer screening participation in India is extremely inadequate and calls for the immediate attention of national and state governments. Additional efforts are warranted to improve public awareness of cancer screening, and appropriate measures should be implemented to conduct well-organized screening programs across the country to ensure maximum participation."
2015,Possibility of Breast Cancer Prevention: Use of Soy Isoflavones and Fermented Soy Beverage Produced Using Probiotics,"The various beneficial effects of soybeans, which are rich in phytochemicals, have received much attention because of increasing health awareness. Soy milk that has been fermented using lactic acid bacteria has been used to prepare cheese-like products, tofu (bean-curd), and yogurt-type products. However, the distinct odor of soybeans has limited the acceptance of such foods, particularly in Western countries. In Japan, while tofu and soy milk have long been habitually consumed, the development of novel, palatable food products has not been easy. The unpleasant odor of soy milk and the absorption efficiency for isoflavones can be improved using a recently developed fermented soy milk beverage. Cancer has been the leading cause of death, and breast cancer is the most common malignancy among women. The most common type of breast cancer is estrogen-dependent, and the anti-estrogenic effects of isoflavones are known. The present review focuses on the characteristics of soy milk fermented using probiotics, an epidemiological study examining the incidence of breast cancer and soy isoflavone consumption, and a non-clinical study examining breast cancer prevention using fermented soy milk beverage."
2017,Multifunctional graphene quantum dots for combined photothermal and photodynamic therapy coupled with cancer cell tracking applications,"Graphene quantum dots (GQDs) have gained enormous attention due to their unique optical properties and emerging employment in biology. Herein, we report the synthesis of highly crystalline GQDs having superior physicochemical and near infrared (NIR)-responsive properties using simple waste, withered leaves of Ficus racemosa, an Indian fig tree, as a carbon source. A considerably large production yield was obtained (ca. 18%) with a competitive quantum yield of 14.16%. The GQDs exhibited excellent dispersibility in both organic as well as aqueous solvents and were highly photostable. High-resolution transmission electron microscopy showed the presence of ultra-small honey-combed as well as self-assembled GQDs. Cell cycle analysis using flow cytometry and biocompatibility studies showed that the GQDs were cytocompatible and were used as in situ labeling probes for normal as well as cancer cells. Furthermore, upon irradiation with an 808 nm laser (0.5 W cm−2), a concentration-dependent photothermal response and production of reactive oxygen species were observed. Confocal laser scanning microscopy showed that GQDs did not lose their fluorescence despite continuous laser irradiation (30 min) on MDA-MB-231 breast cancer cells. Thus, cell death could be traced using GQD-labeled MDA-MB-231 cells post-therapy using the photostability of GQDs, unlike photo-bleachable organic dyes. Thus, a low-cost, scalable, green-synthesis of GQDs with highly efficient optical properties will pave the way for new therapeutics and imaging in biomedical cancer research."
2018,"Feasibility, safety, and efficacy of aerobic training in pretreated patients with metastatic breast cancer: A randomized controlled trial",The investigation of exercise training in metastatic breast cancer has received minimal attention. This study determined the feasibility and safety of aerobic training in metastatic breast cancer.
2020,Platinum-based chemotherapy in combination with PD-1/PD-L1 inhibitors: preclinical and clinical studies and mechanism of action,"ABSTRACT Introduction Platinum chemotherapy is widely used in first-line treatment of patients with various cancers. PD-1/PD-L1 inhibitors have shown efficacy in several cancers, and the combination of platinum-based chemotherapy and PD-1/PD-L1 inhibitors has gradually become the focus of attention. Recently, the combination therapy has exhibited significant effects in preclinical models and clinical trials. Areas covered This review summarizes preclinical and clinical studies of the combination therapy in various cancers, and further explores mechanisms of the treatment. Furthermore, exploration of the mechanism demonstrates that the combination therapy plays a combination role in two ways. On the one hand, the positive effects of platinum-based chemotherapy on immunomodulation can be harnessed to increase the sensitivity of tumor cells to PD-1/PD-L1 inhibitors. On the other hand, platinum-based chemotherapy may upregulate PD-L1 expression in tumor tissue and exert a negative immunomodulatory effect, which can be counteracted by PD-1/PD-L1 inhibitors through their action pathway. What’s more, different types of platinum-based chemotherapy exert different immunomodulation properties. Expert opinion This review describes a potential for the combination of PD-1/PD-L1 inhibitors and novel nanoparticles composed of platinum-loaded complex to yield positive effects in a wide range of doses, thus achieving higher therapeutic effects and lower side effects. Abbreviations Treg: regulatory T cell; MDSC: myeloid-derived suppressor cell; TAM: tumor-associated macrophage; IL: interleukin; PD-1: programmed cell death protein-1; PD-L1: programmed death-ligand-1; NSCLC: non-small cell lung cancer; SCLC: small cell lung cancer; HNSCC: head and neck squamous cell cancer; ICD: immunogenic cell death; TME: tumor microenvironment; CTLs: cytotoxic T lymphocytes; TCR: T cell receptor; MHC class 1: major histocompatibility complex class 1; DC: dendritic cell; APC: antigen-presenting cell; PD-L2: programmed death-ligand-2; STAT6: signal transducers and activators of transcription 6; PLG: poly (L-glutamic acid); mPEG: methoxy poly (ethylene glycol); LLC1: Lewis lung carcinoma 1; PI3K: phosphoinositide 3-kinase; AKT: protein kinase B; MOC1: mouse oral cancer 1; cGAS: cyclic guanosine monophosphate-adenosine monophosphate synthase; STING: stimulator of interferon genes; FDA: food and drug administration; cHL: classical Hodgkin’s lymphoma; PMBCL: primary mediastinal large B-cell lymphoma; HCC: hepatocellular carcinoma; MCC: merkel cell carcinoma; RCC: renal cell carcinoma; ORR: overall response rate; OR: overall response; OS: overall survival; PFS: progression-free survival; vs: versus; EFGR: epidermal growth factor receptor; ALK: anaplastic lymphoma kinase; ES: extensive stage; CPS: combined positive score; DOR: duration of response; ITT: intention to treat; NMPA: national medical products administration; TKI: tyrosine kinase inhibitor; NPC: nasopharyngeal cancer; DLT: dose-limiting toxicity; MTD: maximum tolerated dose; TNBC: triple-negative breast cancer; GC: gastric cancer; GEJC: gastroesophageal junction carcinoma; DCR: disease control rate; BTC: biliary tract cancer; TTR: time to response; PR: partial response; SD: stable disease; PD: progressive disease; IC50: half maximal inhibitory concentration; IFN: interferon; HLA: human leukocyte antigen; NK: natural killer cell; M6PR: mannose-6-phosphate receptor; GrzB: granzyme B; TNF: tumor necrosis factor."
2014,Enhanced charge transfer by gold nanoparticle at DNA modified electrode and its application to label-free DNA detection.,"Rational utilization of nanomaterials to construct electrochemical nucleic acid sensors has attracted large attention in recent years. In this work, we systematically interrogate the interaction between gold nanoparticles (GNPs) and single-strand DNA (ssDNA) immobilized on an electrode surface and then take advantage of the ultrahigh charge-transfer efficiency of GNPs to develop a novel DNA sensing method. Specifically, ssDNA modified gold electrode can adsorb GNPs because of the interaction between gold and nitrogen-containing bases; thus, the negative electrochemical species [Fe(CN)6](3-/4-) may transfer electrons to electrode through adsorbed GNPs. In the presence of target DNA, the formed double-strand DNA (dsDNA) cannot capture GNPs onto the electrode surface and the dsDNA may result in a large charge-transfer resistance owing to the negatively charged phosphate backbones of DNA. So a simple but sensitive method for the detection of target DNA can be developed by using GNPs without any requirement of modification. Experimental results demonstrate that the electrochemical method we have proposed in this work can detect as low as 1 pM breast cancer gene BRCA1 in a 10 μL sample volume without any signal amplification process or the involvement of other synthesized complex, which may provide an alternative for cancer DNA detection. This method may also be generalized for detecting a spectrum of targets using functional DNA (aptamer, metal-specific oligonucleotide, or DNAzyme) in the future."
2015,Concerns about cancer risk and experiences with genetic testing in a diverse population of patients with breast cancer.,"PURPOSE To evaluate preferences for and experiences with genetic testing in a diverse cohort of patients with breast cancer identified through population-based registries, with attention to differences by race/ethnicity. METHODS We surveyed women diagnosed with nonmetastatic breast cancer from 2005 to 2007, as reported to the SEER registries of metropolitan Los Angeles and Detroit, about experiences with hereditary risk evaluation. Multivariable models evaluated correlates of a strong desire for genetic testing, unmet need for discussion with a health care professional, and receipt of testing. RESULTS Among 1,536 patients who completed the survey, 35% expressed strong desire for genetic testing, 28% reported discussing testing with a health care professional, and 19% reported test receipt. Strong desire for testing was more common in younger women, Latinas, and those with family history. Minority patients were significantly more likely to have unmet need for discussion (failure to discuss genetic testing with a health professional when they had a strong desire for testing): odds ratios of 1.68, 2.44, and 7.39 for blacks, English-speaking Latinas, and Spanish-speaking Latinas compared with whites, respectively. Worry in the long-term survivorship period was higher among those with unmet need for discussion (48.7% v 24.9%; P <.001). Patients who received genetic testing were younger, less likely to be black, and more likely to have a family cancer history. CONCLUSION Many patients, especially minorities, express a strong desire for genetic testing and may benefit from discussion to clarify risks. Clinicians should discuss genetic risk even with patients they perceive to be at low risk, as this may reduce worry."
2014,"Hereditary Breast Cancer: Clinical, Pathological and Molecular Characteristics","Pathogenic mutations in BRCA1 or BRCA2 are only detected in 25% of families with a strong history of breast cancer, though hereditary factors are expected to be involved in the remaining families with no recognized mutation. Molecular characterization is expected to provide new insight into the tumor biology to guide the search of new high-risk alleles and provide better classification of the growing number of BRCA1/2 variants of unknown significance (VUS). In this review, we provide an overview of hereditary breast cancer, its genetic background, and clinical implications, before focusing on the pathologically and molecular features associated with the disease. Recent transcriptome and genome profiling studies of tumor series from BRCA1/2 mutation carriers as well as familial npn-BRCA1/2 will be discussed. Special attention is paid to its association with molecular breast cancer subtypes as well as the latest advances in predicting BRCA1/2 involvement (BRCAness) using molecular signatures, for improved diagnostics and selection of patients sensitive to targeted therapeutics."
2017,Mobile Phone Apps for Quality of Life and Well-Being Assessment in Breast and Prostate Cancer Patients: Systematic Review,"Background Mobile phone health apps are increasingly gaining attention in oncological care as potential tools for supporting cancer patients. Although the number of publications and health apps focusing on cancer is increasing, there are still few specifically designed for the most prevalent cancers diagnosed: breast and prostate cancers. There is a need to review the effect of these apps on breast and prostate cancer patients’ quality of life (QoL) and well-being. Objective The purposes of this study were to review the scientific literature on mobile phone apps targeting breast or prostate cancer patients and involving QoL and well-being (anxiety and depression symptoms) and analyze the clinical and technological characteristics, strengths, and weaknesses of these apps, as well as patients’ user experience with them. Methods We conducted a systematic review of peer-reviewed literature from The Cochrane Library, Excerpta Medica Database, PsycINFO, PubMed, Scopus, and MEDLINE to identify studies involving apps focused on breast and/or prostate cancer patients and QoL and/or well-being published between January 1, 2000, and July 12, 2017. Only trial studies which met the inclusion criteria were selected. The systematic review was completed with a critical analysis of the apps previously identified in the health literature research that were available from the official app stores. Results The systematic review of the literature yielded 3862 articles. After removal of duplicates, 3229 remained and were evaluated on the basis of title and abstract. Of these, 3211 were discarded as not meeting the inclusion criteria, and 18 records were selected for full text screening. Finally, 5 citations were included in this review, with a total of 644 patients, mean age 52.16 years. Four studies targeted breast cancer patients and 1 focused on prostate cancer patients. Four studies referred to apps that assessed QoL. Only 1 among the 5 analyzed apps was available from the official app store. In 3 studies, an app-related intervention was carried out, and 2 of them reported an improvement on QoL. The lengths of the app-related interventions varied from 4 to 12 weeks. Because 2 of the studies only tracked use of the app, no effect on QoL or well-being was found. Conclusions Despite the existence of hundreds of studies involving cancer-focused mobile phone apps, there is a lack of rigorous trials regarding the QoL and/or well-being assessment in breast and/or prostate cancer patients. A strong and collective effort should be made by all health care providers to determine those cancer-focused apps that effectively represent useful, accurate, and reliable tools for cancer patients’ disease management. Trial Registration PROSPERO CRD42017073069; https://www.crd.york.ac.uk/PROSPERO/display_record.asp?ID= CRD42017073069 (Archived by WebCite at http://www.webcitation.org/6v38Clb9T)"
2017,Nanogap‐Rich Au Nanowire SERS Sensor for Ultrasensitive Telomerase Activity Detection: Application to Gastric and Breast Cancer Tissues Diagnosis,"Telomerase has attracted much attention as a universal cancer biomarker because telomerase is overexpressed in more than 85% of human cancer cells while suppressed in normal somatic cells. Since a strong association exists between telomerase activity and human cancers, the development of effective telomerase activity assay is critically important. Here, a nanogap‐rich Au nanowire (NW) surface‐enhanced Raman scattering (SERS) sensor is reported for detection of telomerase activity in various cancer cells and tissues. The nanogap‐rich Au NWs are constructed by deposition of nanoparticles on single‐crystalline Au NWs and provided highly reproducible SERS spectra. The telomeric substrate (TS) primer‐attached nanogap‐rich Au NWs can detect telomerase activity through SERS measurement after the elongation of TS primers, folding into G‐quadruplex structures, and intercalation of methylene blue. This sensor enables us to detect telomerase activity from various cancer cell lines with a detection limit of 0.2 cancer cells mL−1. Importantly, the nanogap‐rich Au NW sensor can diagnose gastric and breast cancer tissues accurately. The nanogap‐rich Au NW sensors show strong SERS signals only in the presence of tumor tissues excised from 16 tumor‐bearing mice, while negligible signals in the presence of heated tumor tissues or normal tissues. It is anticipated that nanogap‐rich Au NW SERS sensors can be used for a universal cancer diagnosis and further biomedical applications including a diverse biomarker sensing."
2018,Evolutionary pruning of transfer learned deep convolutional neural network for breast cancer diagnosis in digital breast tomosynthesis,"Deep learning models are highly parameterized, resulting in difficulty in inference and transfer learning for image recognition tasks. In this work, we propose a layered pathway evolution method to compress a deep convolutional neural network (DCNN) for classification of masses in digital breast tomosynthesis (DBT). The objective is to prune the number of tunable parameters while preserving the classification accuracy. In the first stage transfer learning, 19 632 augmented regions-of-interest (ROIs) from 2454 mass lesions on mammograms were used to train a pre-trained DCNN on ImageNet. In the second stage transfer learning, the DCNN was used as a feature extractor followed by feature selection and random forest classification. The pathway evolution was performed using genetic algorithm in an iterative approach with tournament selection driven by count-preserving crossover and mutation. The second stage was trained with 9120 DBT ROIs from 228 mass lesions using leave-one-case-out cross-validation. The DCNN was reduced by 87% in the number of neurons, 34% in the number of parameters, and 95% in the number of multiply-and-add operations required in the convolutional layers. The test AUC on 89 mass lesions from 94 independent DBT cases before and after pruning were 0.88 and 0.90, respectively, and the difference was not statistically significant (p  >  0.05). The proposed DCNN compression approach can reduce the number of required operations by 95% while maintaining the classification performance. The approach can be extended to other deep neural networks and imaging tasks where transfer learning is appropriate."
2020,Improving Breast Cancer Detection Accuracy of Mammography with the Concurrent Use of an Artificial Intelligence Tool.,"Purpose To evaluate the benefits of an artificial intelligence (AI)-based tool for two-dimensional mammography in the breast cancer detection process. Materials and Methods In this multireader, multicase retrospective study, 14 radiologists assessed a dataset of 240 digital mammography images, acquired between 2013 and 2016, using a counterbalance design in which half of the dataset was read without AI and the other half with the help of AI during a first session and vice versa during a second session, which was separated from the first by a washout period. Area under the receiver operating characteristic curve (AUC), sensitivity, specificity, and reading time were assessed as endpoints. Results The average AUC across readers was 0.769 (95% CI: 0.724, 0.814) without AI and 0.797 (95% CI: 0.754, 0.840) with AI. The average difference in AUC was 0.028 (95% CI: 0.002, 0.055, P = .035). Average sensitivity was increased by 0.033 when using AI support (P = .021). Reading time changed dependently to the AI-tool score. For low likelihood of malignancy (< 2.5%), the time was about the same in the first reading session and slightly decreased in the second reading session. For higher likelihood of malignancy, the reading time was on average increased with the use of AI. Conclusion This clinical investigation demonstrated that the concurrent use of this AI tool improved the diagnostic performance of radiologists in the detection of breast cancer without prolonging their workflow.Supplemental material is available for this article.© RSNA, 2020."
